company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Itchen Heating and Plumbing,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/itchen-heating-and-plumbing/Jmk0m/,bark
MIA BATHROOMS LTD,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/mia-bathrooms-ltd/ERLQy/,bark
Ultimate Renovators,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/ultimate-renovators/y3113/,bark
Refresh Renovations - Surrey,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/refresh-renovations---surrey/Jn7Yd/,bark
ATJ Hampshire & Dorset,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/atj-hampshire--dorset/POQGb/,bark
My-bathrooms,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/my-bathrooms/PnZ40/,bark
Lj Building and Maintenance Services,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/lj-building-and-maintenance-services/L4pb8/,bark
Jahvo’s Plumbing and Refurbishing Services Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/jahvos-plumbing-and-refurbishing-services-ltd/XRynO/,bark
Pipemech,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/pipemech/X1lZ1/,bark
Homely Home Improvements Limited,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/homely-home-improvements-limited/zXXqn/,bark
"D.A Gas, Heating & Plumbing LTD",,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/da-gas-heating--plumbing-ltd/v819m/,bark
Fox Plumbing and Heating Ltd.,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/fox-plumbing-and-heating-ltd/GA3dL/,bark
Potters Interiors Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/potters-interiors-ltd/VVYak/,bark
AK plumbing and heating,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/ak-plumbing-and-heating/61KpP/,bark
Alban Gray Interiors,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/alban-gray-interiors/oDY9/,bark
Hart Homes Design and Build,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/hart-homes-design-and-build/79GXO/,bark
Bush Builders,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/bush-builders/ZL0yQ/,bark
B s plumbing and heating dm ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/b-s-plumbing-and-heating-dm-ltd/wbdgJ/,bark
B & K Installations,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/b--k-installations/zPnYv/,bark
Jack's landscaping services Ltd,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/jacks-landscaping-services-ltd-/zL002/,bark
Smart plumbing and Heating,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/smart-plumbing-and-heating/go7y6/,bark
The Tile And Bathroom Warehouse Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/the-tile-and-bathroom-warehouse-ltd/bv1Dd/,bark
R&J Building Contractors,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/rj-building-contractors/ZNpgl/,bark
BrissettInteriors.com,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/brissettinteriorscom/1Bqbl/,bark
Plumb-Eco Plumbing and Heating Services Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/plumb-eco-plumbing-and-heating-services-ltd/egmJ6/,bark
J L Designs,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/j-l-designs/B3B3R/,bark
Tachra building contractors ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/tachra-building-contractors-ltd/lOppw/,bark
BT Plumbing Keynsham,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/bt-plumbing-keynsham/1nQRZ/,bark
NCM Property Services,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/ncm-property-services/YNE4j/,bark
Tasker Plumbing,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/tasker-plumbing/ZX1QA/,bark
Ecofueled,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/ecofueled/zpYwv/,bark
Woodsons Building,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/woodsons-building/VZYnK/,bark
J Radford home services,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/j-radford-home-services/jwKav/,bark
SOSBoilers LTD,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/sosboilers-ltd/8gQoe/,bark
"Flaming gas, oil and plumbing solutions",,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/flaming-gas-oil-and-plumbing-solutions/8OnGe/,bark
Coastal property improvements,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/coastal-property-improvements/b1azb/,bark
Duncan Jones,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/duncan-jones/VwXgw/,bark
A.S Home Services,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/as-home-services/6B7dK/,bark
Singlewood LLP,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/singlewood-llp/adpmo/,bark
B M Custom Property Care,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/b-m-custom-property-care/lJ7X2/,bark
