company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"THE FRIENDLY GROUP LTD","Mr Viorel","Insulation","Newcastle Upon","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,,,,72,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/thefriendlygroupltd",thefriendlygroupltd
"CG Render Systems","Mr Callum","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.2,9.6,9,9,25,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/cgrendersystems",cgrendersystems
"RB Roofing & Maintenance","Mr. Ryan Beaver","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.25,10,9.25,8.5,118,5,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/rbroofingandmaintenance322396",rbroofingandmaintenance322396
"FoamEx Solutions Ltd","Mr Lewis","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.87,9.8,9.93,9.87,43,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/foamexsolutions",foamexsolutions
"Loft Insulation Specialists","Mr Peter","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.84,9.84,9.84,9.84,164,3,"404608323",Yes,Yes,Yes,"https://www.checkatrade.com/trades/loftinsulationspecialists",loftinsulationspecialists
"South Coast Loft Insulation & Boarding Ltd","Mr Connor","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.98,10,9.94,10,123,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/southcoastloftinsulationboardingltd",southcoastloftinsulationboardingltd
"The Warmer Group Ltd","Mr Leanne","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.91,9.85,9.96,9.93,95,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/thewarmergroupltd",thewarmergroupltd
"Loft Guard Insulation Limited","Mr Robert","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,10,10,10,24,,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/loftguardinsulationlimited",loftguardinsulationlimited
"The Extraction Group Ltd","Mr Matthew","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",9.86,9.86,9.86,9.86,8,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/theextractiongroupltd",theextractiongroupltd
"Pro-Insulate & Loft Boarding Ltd","Mr Robert","Insulation","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=722687f1-4fb9-4382-8b45-31ebf2049c54&cat_web_session_id=025b9083-3112-4292-b6ad-8cccdc8d2a10&banner_location=header",10,,,,1,4,"435345793",Yes,Yes,Yes,"https://www.checkatrade.com/trades/proinsulateloftboardingltd",proinsulateloftboardingltd
